Team 1,Team 2,Team 1 Points,Team 2 Points,Total H2H Points,Average Score Margin (Team 1),Average Score Margin (Winning Team),Total Matchups,Team 1 Wins,Team 2 Wins,Team 1 Win %,Team 2 Win %,Tie Games,Playoff Games
Luca,Dylan,1246.3,1100.8,2347.1,18.2,28.9,8.0,6.0,2.0,75.0,25.0,0.0,1.0
Luca,Cody,2500.7,2412.2,4912.9,4.9,28.6,18.0,9.0,9.0,50.0,50.0,0.0,1.0
Luca,Matt,2104.7,2063.9,4168.6,2.7,28.2,15.0,8.0,7.0,53.3,46.7,0.0,3.0
Luca,Nate,2413.4,2264.8,4678.200000000001,8.7,27.6,17.0,10.0,7.0,58.8,41.2,0.0,1.0
Luca,Hayden,1578.7,1441.9,3020.6000000000004,13.7,33.5,10.0,7.0,3.0,70.0,30.0,0.0,2.0
Gavin,Luca,2179.2,2081.1,4260.299999999999,6.1,28.1,16.0,9.0,7.0,56.2,43.8,0.0,2.0
Luca,Zachary,1801.2,1729.5,3530.7,5.1,39.5,14.0,8.0,5.0,61.5,38.5,1.0,0.0
Luca,Alexander,1036.0,1014.9,2050.9,3.0,24.6,7.0,4.0,3.0,57.1,42.9,0.0,1.0
Evan,Luca,1367.4,1253.5,2620.9,11.4,40.8,10.0,6.0,4.0,60.0,40.0,0.0,0.0
Dylan,Cody,1338.3,1280.3,2618.6,5.8,20.4,10.0,6.0,4.0,60.0,40.0,0.0,0.0
Matt,Dylan,2019.6,1955.8,3975.3999999999996,4.2,37.6,15.0,8.0,7.0,53.3,46.7,0.0,1.0
Dylan,Nate,1905.4,1559.2,3464.6000000000004,24.7,30.6,14.0,9.0,4.0,69.2,30.8,1.0,0.0
Dylan,Hayden,2225.3,2011.9,4237.200000000001,13.3,30.6,16.0,9.0,7.0,56.2,43.8,0.0,1.0
Gavin,Dylan,1792.3,1556.0,3348.3,19.7,28.8,12.0,9.0,3.0,75.0,25.0,0.0,0.0
Dylan,Zachary,1468.5,1299.4,2767.9,16.9,21.5,10.0,7.0,3.0,70.0,30.0,0.0,0.0
Dylan,Alexander,1449.4,1398.0,2847.4,4.7,29.6,11.0,7.0,4.0,63.6,36.4,0.0,1.0
Dylan,Evan,1561.4,1554.8,3116.2,0.5,20.4,12.0,6.0,5.0,54.5,45.5,1.0,0.0
Matt,Cody,1380.4,1387.8,2768.2,-0.7,20.9,11.0,6.0,5.0,54.5,45.5,0.0,2.0
Nate,Cody,1678.3,1567.1,3245.3999999999996,8.6,14.5,13.0,11.0,2.0,84.6,15.4,0.0,0.0
Hayden,Cody,1547.2,1477.1,3024.3,5.8,31.7,12.0,7.0,5.0,58.3,41.7,0.0,0.0
Cody,Gavin,1481.4,1444.4,2925.8,3.4,25.9,11.0,6.0,5.0,54.5,45.5,0.0,1.0
Cody,Zachary,2182.5,2010.3,4192.8,10.8,29.4,16.0,11.0,5.0,68.8,31.2,0.0,0.0
Alexander,Cody,1409.6,1347.0,2756.6,5.7,18.4,11.0,6.0,5.0,54.5,45.5,0.0,0.0
Cody,Evan,809.5,714.3,1523.8,15.9,36.5,6.0,4.0,2.0,66.7,33.3,0.0,0.0
Matt,Nate,1576.4,1329.9,2906.3,20.5,39.1,12.0,9.0,3.0,75.0,25.0,0.0,0.0
Matt,Hayden,2056.2,1918.8,3975.0,8.6,36.5,16.0,10.0,6.0,62.5,37.5,0.0,0.0
Matt,Gavin,1402.6,1473.5,2876.1,-7.1,23.2,10.0,6.0,4.0,60.0,40.0,0.0,1.0
Matt,Zachary,2037.9,1911.6,3949.5,9.0,30.7,14.0,7.0,7.0,50.0,50.0,0.0,1.0
Matt,Alexander,1608.2,1577.1,3185.3,2.8,20.1,11.0,6.0,5.0,54.5,45.5,0.0,1.0
Matt,Evan,1461.6,1338.8,2800.3999999999996,12.3,40.4,10.0,6.0,4.0,60.0,40.0,0.0,1.0
Nate,Hayden,1449.8,1390.3,2840.1,5.4,24.1,11.0,7.0,4.0,63.6,36.4,0.0,0.0
Gavin,Nate,2198.2,2033.8,4232.0,10.3,22.6,16.0,11.0,5.0,68.8,31.2,0.0,2.0
Zachary,Nate,1603.4,1475.1,3078.5,9.9,24.7,13.0,7.0,5.0,58.3,41.7,1.0,0.0
Nate,Alexander,1203.0,1182.9,2385.9,2.5,20.1,8.0,4.0,4.0,50.0,50.0,0.0,1.0
Evan,Nate,548.0,501.8,1049.8,11.5,27.7,4.0,3.0,1.0,75.0,25.0,0.0,0.0
Gavin,Hayden,1845.1,1941.7,3786.8,-7.4,21.2,13.0,7.0,5.0,58.3,41.7,1.0,1.0
Hayden,Zachary,913.5,902.5,1816.0,1.4,30.3,8.0,5.0,3.0,62.5,37.5,0.0,1.0
Hayden,Alexander,1253.2,1164.1,2417.3,8.9,26.3,10.0,6.0,4.0,60.0,40.0,0.0,0.0
Hayden,Evan,1872.2,1852.7,3724.9,1.4,25.1,14.0,8.0,6.0,57.1,42.9,0.0,1.0
Zachary,Gavin,2176.9,2091.9,4268.8,5.0,31.1,17.0,10.0,7.0,58.8,41.2,0.0,0.0
Gavin,Alexander,1203.1,1150.5,2353.6,6.6,19.8,8.0,4.0,4.0,50.0,50.0,0.0,1.0
Gavin,Evan,1594.1,1492.5,3086.6,9.2,36.6,11.0,7.0,4.0,63.6,36.4,0.0,2.0
Alexander,Zachary,1066.3,1038.9,2105.2,3.4,21.0,8.0,5.0,3.0,62.5,37.5,0.0,0.0
Evan,Zachary,1139.9,1249.3,2389.2,-13.7,21.7,8.0,5.0,3.0,62.5,37.5,0.0,2.0
Alexander,Evan,1222.7,1180.4,2403.1000000000004,4.2,26.3,10.0,5.0,5.0,50.0,50.0,0.0,0.0
