Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2017,1.0,Dylan,154.0,Cody,120.0,34.0,Win,Regular,1,0
2017,1.0,Cody,120.0,Dylan,154.0,-34.0,Loss,Regular,0,0
2017,1.0,Luca,111.0,Matt,96.0,15.0,Win,Regular,0,0
2017,1.0,Gavin,104.0,Nate,98.0,6.0,Win,Regular,0,0
2017,1.0,Hayden,103.0,Zachary,99.0,4.0,Win,Regular,0,0
2017,1.0,Zachary,99.0,Hayden,103.0,-4.0,Loss,Regular,0,0
2017,1.0,Nate,98.0,Gavin,104.0,-6.0,Loss,Regular,0,0
2017,1.0,Matt,96.0,Luca,111.0,-15.0,Loss,Regular,0,1
2017,2.0,Cody,146.0,Matt,96.0,50.0,Win,Regular,1,0
2017,2.0,Zachary,126.0,Gavin,102.0,24.0,Win,Regular,0,0
2017,2.0,Nate,126.0,Hayden,92.0,34.0,Win,Regular,0,0
2017,2.0,Gavin,102.0,Zachary,126.0,-24.0,Loss,Regular,0,0
2017,2.0,Luca,102.0,Dylan,88.0,14.0,Win,Regular,0,0
2017,2.0,Matt,96.0,Cody,146.0,-50.0,Loss,Regular,0,0
2017,2.0,Hayden,92.0,Nate,126.0,-34.0,Loss,Regular,0,0
2017,2.0,Dylan,88.0,Luca,102.0,-14.0,Loss,Regular,0,1
2017,3.0,Cody,137.0,Luca,121.0,16.0,Win,Regular,1,0
2017,3.0,Gavin,131.0,Hayden,102.0,29.0,Win,Regular,0,0
2017,3.0,Luca,121.0,Cody,137.0,-16.0,Loss,Regular,0,0
2017,3.0,Dylan,120.0,Matt,104.0,16.0,Win,Regular,0,0
2017,3.0,Nate,106.0,Zachary,90.0,16.0,Win,Regular,0,0
2017,3.0,Matt,104.0,Dylan,120.0,-16.0,Loss,Regular,0,0
2017,3.0,Hayden,102.0,Gavin,131.0,-29.0,Loss,Regular,0,0
2017,3.0,Zachary,90.0,Nate,106.0,-16.0,Loss,Regular,0,1
2017,4.0,Luca,146.0,Nate,139.0,7.0,Win,Regular,1,0
2017,4.0,Nate,139.0,Luca,146.0,-7.0,Loss,Regular,0,0
2017,4.0,Dylan,129.0,Hayden,101.0,28.0,Win,Regular,0,0
2017,4.0,Hayden,101.0,Dylan,129.0,-28.0,Loss,Regular,0,0
2017,4.0,Zachary,96.0,Cody,85.0,11.0,Win,Regular,0,0
2017,4.0,Matt,95.0,Gavin,92.0,3.0,Win,Regular,0,0
2017,4.0,Gavin,92.0,Matt,95.0,-3.0,Loss,Regular,0,0
2017,4.0,Cody,85.0,Zachary,96.0,-11.0,Loss,Regular,0,1
2017,5.0,Hayden,166.0,Cody,101.0,65.0,Win,Regular,1,0
2017,5.0,Zachary,146.0,Luca,93.0,53.0,Win,Regular,0,0
2017,5.0,Dylan,115.0,Gavin,106.0,9.0,Win,Regular,0,0
2017,5.0,Gavin,106.0,Dylan,115.0,-9.0,Loss,Regular,0,0
2017,5.0,Cody,101.0,Hayden,166.0,-65.0,Loss,Regular,0,0
2017,5.0,Luca,93.0,Zachary,146.0,-53.0,Loss,Regular,0,0
2017,5.0,Nate,91.0,Matt,86.0,5.0,Win,Regular,0,0
2017,5.0,Matt,86.0,Nate,91.0,-5.0,Loss,Regular,0,1
2017,6.0,Hayden,149.0,Luca,93.0,56.0,Win,Regular,1,0
2017,6.0,Gavin,142.0,Cody,116.0,26.0,Win,Regular,0,0
2017,6.0,Cody,116.0,Gavin,142.0,-26.0,Loss,Regular,0,0
2017,6.0,Zachary,113.0,Matt,105.0,8.0,Win,Regular,0,0
2017,6.0,Nate,113.0,Dylan,99.0,14.0,Win,Regular,0,0
2017,6.0,Matt,105.0,Zachary,113.0,-8.0,Loss,Regular,0,0
2017,6.0,Dylan,99.0,Nate,113.0,-14.0,Loss,Regular,0,0
2017,6.0,Luca,93.0,Hayden,149.0,-56.0,Loss,Regular,0,1
2017,7.0,Dylan,154.0,Zachary,126.0,28.0,Win,Regular,1,0
2017,7.0,Zachary,126.0,Dylan,154.0,-28.0,Loss,Regular,0,0
2017,7.0,Matt,121.0,Hayden,105.0,16.0,Win,Regular,0,0
2017,7.0,Luca,119.0,Gavin,102.0,17.0,Win,Regular,0,0
2017,7.0,Nate,119.0,Cody,90.0,29.0,Win,Regular,0,0
2017,7.0,Hayden,105.0,Matt,121.0,-16.0,Loss,Regular,0,0
2017,7.0,Gavin,102.0,Luca,119.0,-17.0,Loss,Regular,0,0
2017,7.0,Cody,90.0,Nate,119.0,-29.0,Loss,Regular,0,1
2017,8.0,Luca,146.0,Matt,91.0,55.0,Win,Regular,1,0
2017,8.0,Gavin,138.0,Nate,128.0,10.0,Win,Regular,0,0
2017,8.0,Dylan,132.0,Cody,125.0,7.0,Win,Regular,0,0
2017,8.0,Nate,128.0,Gavin,138.0,-10.0,Loss,Regular,0,0
2017,8.0,Cody,125.0,Dylan,132.0,-7.0,Loss,Regular,0,0
2017,8.0,Matt,91.0,Luca,146.0,-55.0,Loss,Regular,0,0
2017,8.0,Hayden,91.0,Zachary,85.0,6.0,Win,Regular,0,0
2017,8.0,Zachary,85.0,Hayden,91.0,-6.0,Loss,Regular,0,1
2017,9.0,Matt,146.0,Cody,95.0,51.0,Win,Regular,1,0
2017,9.0,Dylan,130.0,Luca,110.0,20.0,Win,Regular,0,0
2017,9.0,Gavin,128.0,Zachary,65.0,63.0,Win,Regular,0,0
2017,9.0,Luca,110.0,Dylan,130.0,-20.0,Loss,Regular,0,0
2017,9.0,Nate,106.0,Hayden,91.0,15.0,Win,Regular,0,0
2017,9.0,Cody,95.0,Matt,146.0,-51.0,Loss,Regular,0,0
2017,9.0,Hayden,91.0,Nate,106.0,-15.0,Loss,Regular,0,0
2017,9.0,Zachary,65.0,Gavin,128.0,-63.0,Loss,Regular,0,1
2017,10.0,Hayden,157.0,Gavin,102.0,55.0,Win,Regular,1,0
2017,10.0,Matt,125.0,Dylan,115.0,10.0,Win,Regular,0,0
2017,10.0,Cody,124.0,Luca,103.0,21.0,Win,Regular,0,0
2017,10.0,Dylan,115.0,Matt,125.0,-10.0,Loss,Regular,0,0
2017,10.0,Zachary,103.0,Nate,103.0,0.0,Tie,Regular,0,0
2017,10.0,Nate,103.0,Zachary,103.0,0.0,Tie,Regular,0,0
2017,10.0,Luca,103.0,Cody,124.0,-21.0,Loss,Regular,0,0
2017,10.0,Gavin,102.0,Hayden,157.0,-55.0,Loss,Regular,0,1
2017,11.0,Luca,161.0,Nate,129.0,32.0,Win,Regular,1,0
