Team,Opponent,PointsFor,PointsAgainst,Win %,TotalMatchups
Luca,Dylan,1246,1101,75,8
Luca,Hayden,1579,1442,70,10
Luca,Zachary,1801,1730,62,14
Luca,Nate,2413,2265,59,17
Luca,Alexander,1036,1015,57,7
Luca,Matt,2105,2064,53,15
Luca,Cody,2501,2412,50,18
Luca,Gavin,2081,2179,44,16
Luca,Evan,1254,1367,40,10
Dylan,Zachary,1468,1299,70,10
Dylan,Nate,1905,1559,69,14
Dylan,Alexander,1449,1398,64,11
Dylan,Cody,1338,1280,60,10
Dylan,Hayden,2225,2012,56,16
Dylan,Evan,1561,1555,54,12
Dylan,Matt,1956,2020,47,15
Dylan,Luca,1101,1246,25,8
Dylan,Gavin,1556,1792,25,12
Cody,Zachary,2182,2010,69,16
Cody,Evan,810,714,67,6
Cody,Gavin,1481,1444,54,11
Cody,Luca,2412,2501,50,18
Cody,Matt,1388,1380,46,11
Cody,Alexander,1347,1410,46,11
Cody,Hayden,1477,1547,42,12
Cody,Dylan,1280,1338,40,10
Cody,Nate,1567,1678,15,13
Matt,Nate,1576,1330,75,12
Matt,Hayden,2056,1919,62,16
Matt,Gavin,1403,1474,60,10
Matt,Evan,1462,1339,60,10
Matt,Cody,1380,1388,54,11
Matt,Alexander,1608,1577,54,11
Matt,Dylan,2020,1956,53,15
Matt,Zachary,2038,1912,50,14
Matt,Luca,2064,2105,47,15
Nate,Cody,1678,1567,85,13
Nate,Hayden,1450,1390,64,11
Nate,Alexander,1203,1183,50,8
Nate,Zachary,1475,1603,42,13
Nate,Luca,2265,2413,41,17
Nate,Gavin,2034,2198,31,16
Nate,Dylan,1559,1905,31,14
Nate,Matt,1330,1576,25,12
Nate,Evan,502,548,25,4
Hayden,Zachary,914,902,62,8
Hayden,Alexander,1253,1164,60,10
Hayden,Cody,1547,1477,58,12
Hayden,Evan,1872,1853,57,14
Hayden,Dylan,2012,2225,44,16
Hayden,Gavin,1942,1845,42,13
Hayden,Matt,1919,2056,38,16
Hayden,Nate,1390,1450,36,11
Hayden,Luca,1442,1579,30,10
Gavin,Dylan,1792,1556,75,12
Gavin,Nate,2198,2034,69,16
Gavin,Evan,1594,1492,64,11
Gavin,Hayden,1845,1942,58,13
Gavin,Luca,2179,2081,56,16
Gavin,Alexander,1203,1150,50,8
Gavin,Cody,1444,1481,46,11
Gavin,Zachary,2092,2177,41,17
Gavin,Matt,1474,1403,40,10
Zachary,Gavin,2177,2092,59,17
Zachary,Nate,1603,1475,58,13
Zachary,Matt,1912,2038,50,14
Zachary,Luca,1730,1801,38,14
Zachary,Hayden,902,914,38,8
Zachary,Alexander,1039,1066,38,8
Zachary,Evan,1249,1140,38,8
Zachary,Cody,2010,2182,31,16
Zachary,Dylan,1299,1468,30,10
Alexander,Zachary,1066,1039,62,8
Alexander,Cody,1410,1347,54,11
Alexander,Nate,1183,1203,50,8
Alexander,Gavin,1150,1203,50,8
Alexander,Evan,1223,1180,50,10
Alexander,Matt,1577,1608,46,11
Alexander,Luca,1015,1036,43,7
Alexander,Hayden,1164,1253,40,10
Alexander,Dylan,1398,1449,36,11
Evan,Nate,548,502,75,4
Evan,Zachary,1140,1249,62,8
Evan,Luca,1367,1254,60,10
Evan,Alexander,1180,1223,50,10
Evan,Dylan,1555,1561,46,12
Evan,Hayden,1853,1872,43,14
Evan,Matt,1339,1462,40,10
Evan,Gavin,1492,1594,36,11
Evan,Cody,714,810,33,6
