Year,Week,Team,Opponent,Winning Margin,All Time Rank
2023,1.0,Alexander Nicoll,Cody Morton,92.1,4
2019,1.0,Alexander Nicoll,Hayden Bingham,66.0,32
2019,5.0,Alexander Nicoll,Evan Williams,55.0,55
2019,9.0,Alexander Nicoll,Evan Williams,50.0,79
2021,4.0,Alexander Nicoll,Dylan Peters,49.0,83
2020,9.0,Cody Morton,Hayden Bingham,90.5,5
2020,1.0,Cody Morton,Evan Williams,80.4,9
2023,2.0,Cody Morton,Zachary Toma,70.6,20
2024,11.0,Cody Morton,Luca Hurst,62.4,38
2022,2.0,Cody Morton,Zachary Toma,55.2,52
2020,12.0,Dylan Peters,Hayden Bingham,98.5,2
2019,4.0,Dylan Peters,Nate Stone,95.0,3
2019,6.0,Dylan Peters,Alexander Nicoll,69.0,24
2021,5.0,Dylan Peters,Matt Willadsen,68.3,26
2018,10.0,Dylan Peters,Nate Stone,68.0,27
2020,12.0,Evan Williams,Luca Hurst,70.2,21
2024,5.0,Evan Williams,Luca Hurst,67.6,28
2024,11.0,Evan Williams,Hayden Bingham,61.8,40
2021,4.0,Evan Williams,Matt Willadsen,55.3,51
2020,8.0,Evan Williams,Luca Hurst,53.0,65
2021,2.0,Gavin Tacto,Luca Hurst,86.4,7
2023,8.0,Gavin Tacto,Dylan Peters,72.6,17
2024,2.0,Gavin Tacto,Luca Hurst,71.4,18
2017,9.0,Gavin Tacto,Zachary Toma,63.0,37
2019,9.0,Gavin Tacto,Matt Willadsen,60.0,41
2020,3.0,Hayden Bingham,Nate Stone,69.6,22
2018,6.0,Hayden Bingham,Cody Morton,69.0,24
2019,6.0,Hayden Bingham,Matt Willadsen,66.0,32
2017,5.0,Hayden Bingham,Cody Morton,65.0,34
2017,6.0,Hayden Bingham,Luca Hurst,56.0,50
2018,3.0,Luca Hurst,Zachary Toma,86.0,8
2020,1.0,Luca Hurst,Nate Stone,80.1,10
2018,10.0,Luca Hurst,Zachary Toma,76.0,11
2018,1.0,Luca Hurst,Gavin Tacto,67.0,31
2018,4.0,Luca Hurst,Hayden Bingham,59.0,44
2024,6.0,Matt Willadsen,Nate Stone,123.2,1
2022,13.0,Matt Willadsen,Evan Williams,86.6,6
2022,10.0,Matt Willadsen,Hayden Bingham,73.5,14
2018,9.0,Matt Willadsen,Nate Stone,73.0,16
2018,11.0,Matt Willadsen,Zachary Toma,69.0,24
2024,12.0,Nate Stone,Alexander Nicoll,73.2,15
2020,12.0,Nate Stone,Matt Willadsen,58.5,45
2024,13.0,Nate Stone,Luca Hurst,53.2,61
2019,12.0,Nate Stone,Matt Willadsen,48.0,85
2024,11.0,Nate Stone,Gavin Tacto,47.5,89
2020,9.0,Zachary Toma,Luca Hurst,75.5,12
2021,6.0,Zachary Toma,Hayden Bingham,74.8,13
2022,7.0,Zachary Toma,Evan Williams,71.3,19
2020,6.0,Zachary Toma,Nate Stone,64.7,35
2022,9.0,Zachary Toma,Gavin Tacto,64.4,36
