Team,Opponent,PointsFor,PointsAgainst,Win %,TotalMatchups
Luca Hurst,Dylan Peters,1246.3,1100.8,75.0,8.0
Luca Hurst,Hayden Bingham,1578.7,1441.9,70.0,10.0
Luca Hurst,Zachary Toma,1801.2,1729.5,61.5,14.0
Luca Hurst,Alexander Nicoll,1036.0,1014.9,57.1,7.0
Luca Hurst,Nate Stone,2237.0,2143.6,56.2,16.0
Luca Hurst,Matt Willadsen,2104.7,2063.9,53.3,15.0
Luca Hurst,Cody Morton,2500.7,2412.2,50.0,18.0
Luca Hurst,Gavin Tacto,2081.1,2179.2,43.8,16.0
Luca Hurst,Evan Williams,1253.5,1367.4,40.0,10.0
Dylan Peters,Zachary Toma,1468.5,1299.4,70.0,10.0
Dylan Peters,Nate Stone,1905.4,1559.2,69.2,14.0
Dylan Peters,Alexander Nicoll,1449.4,1398.0,63.6,11.0
Dylan Peters,Cody Morton,1338.3,1280.3,60.0,10.0
Dylan Peters,Evan Williams,1467.8,1429.9,60.0,11.0
Dylan Peters,Hayden Bingham,2225.3,2011.9,56.2,16.0
Dylan Peters,Matt Willadsen,1955.8,2019.6,46.7,15.0
Dylan Peters,Luca Hurst,1100.8,1246.3,25.0,8.0
Dylan Peters,Gavin Tacto,1556.0,1792.3,25.0,12.0
Cody Morton,Zachary Toma,2182.5,2010.3,68.8,16.0
Cody Morton,Evan Williams,809.5,714.3,66.7,6.0
Cody Morton,Gavin Tacto,1481.4,1444.4,54.5,11.0
Cody Morton,Luca Hurst,2412.2,2500.7,50.0,18.0
Cody Morton,Matt Willadsen,1387.8,1380.4,45.5,11.0
Cody Morton,Hayden Bingham,1477.1,1547.2,41.7,12.0
Cody Morton,Dylan Peters,1280.3,1338.3,40.0,10.0
Cody Morton,Alexander Nicoll,1218.4,1314.3,40.0,10.0
Cody Morton,Nate Stone,1567.1,1678.3,15.4,13.0
Matt Willadsen,Nate Stone,1576.4,1329.9,75.0,12.0
Matt Willadsen,Hayden Bingham,1953.2,1761.4,66.7,15.0
Matt Willadsen,Gavin Tacto,1402.6,1473.5,60.0,10.0
Matt Willadsen,Evan Williams,1461.6,1338.8,60.0,10.0
Matt Willadsen,Cody Morton,1380.4,1387.8,54.5,11.0
Matt Willadsen,Alexander Nicoll,1608.2,1577.1,54.5,11.0
Matt Willadsen,Dylan Peters,2019.6,1955.8,53.3,15.0
Matt Willadsen,Zachary Toma,2037.9,1911.6,50.0,14.0
Matt Willadsen,Luca Hurst,2063.9,2104.7,46.7,15.0
Nate Stone,Cody Morton,1678.3,1567.1,84.6,13.0
Nate Stone,Hayden Bingham,1449.8,1390.3,63.6,11.0
Nate Stone,Alexander Nicoll,1203.0,1182.9,50.0,8.0
Nate Stone,Luca Hurst,2143.6,2237.0,43.8,16.0
Nate Stone,Zachary Toma,1475.1,1603.4,41.7,13.0
Nate Stone,Gavin Tacto,2033.8,2198.2,31.2,16.0
Nate Stone,Dylan Peters,1559.2,1905.4,30.8,14.0
Nate Stone,Matt Willadsen,1329.9,1576.4,25.0,12.0
Nate Stone,Evan Williams,501.8,548.0,25.0,4.0
Hayden Bingham,Zachary Toma,913.5,902.5,62.5,8.0
